[StudentID,TotalNumberOfSemestersRegistered,Semester,NumCoursesTakenInTheSemester
, 116,12,6,6
, 116,12,7,9
, 116,12,8,8
, 116,12,9,8
, 116,12,10,3
, 116,12,11,1
, 116,12,12,2
, 117,11,1,10
, 117,11,2,8
, 117,11,3,1
, 117,11,4,9
, 117,11,5,9
, 117,11,6,8
, 117,11,7,9
, 117,11,8,1
, 117,11,9,8
, 117,11,10,1
, 117,11,11,1
, 118,12,1,9
, 118,12,2,10
, 118,12,3,1
, 118,12,4,9
, 118,12,5,10
, 118,12,6,1
, 118,12,7,10
, 118,12,8,6
, 118,12,9,2
, 118,12,10,10
, 118,12,11,4
, 118,12,12,1
, 119,18,1,9
, 119,18,2,10
, 119,18,3,9
, 119,18,4,7
, 119,18,5,1
, 119,18,6,1
, 119,18,7,8
, 119,18,8,8
, 119,18,9,1
, 119,18,10,1
, 119,18,11,5
, 119,18,12,5
, 119,18,13,1
, 119,18,14,2
, 119,18,15,2
, 119,18,16,1
, 119,18,17,1
, 119,18,18,1
, 120,10,1,11
, 120,10,2,10
, 120,10,3,8
, 120,10,4,8
, 120,10,5,10
, 120,10,6,9
, 120,10,7,7
, 120,10,8,1
, 120,10,9,3
, 120,10,10,1
, 121,13,1,9
, 121,13,2,10
, 121,13,3,8
, 121,13,4,8
, 121,13,5,8
